Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Order,Product Image,Multi Image,Brand,List,Pros,Cons,Material,Softness,Price,Breathability,Thread count,Durability,Customer reviews,Size options,Care instructions,Color/pattern options,Weave type,Hypoallergenic properties,Eco friendliness,Warranty/return policy,Brand reputation,Total score,Popularity (sub score),Brand Reputation (sub score),Overall Value (sub score),Luxury (sub score),is_amazon,Description,promotion_code,promotion,exact_price,Affiliate url (web),Amazon affiliate url,Size,Amazon Affiliate url - mobile,Amazon Affiliate url - desktop,URL sanity,affiliation check
100% Organic Cotton Sateen Sheet Set,100-organic-cotton-sateen-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,66b211933fa96a5ba5475749,FALSE,TRUE,Tue Aug 06 2024 12:05:39 GMT+0000 (Coordinated Universal Time),Thu Dec 05 2024 11:18:29 GMT+0000 (Coordinated Universal Time),Sun Dec 08 2024 13:58:09 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159768be23215bbfc613_66b213165de439eff76c6c02_sleep-and-beyond-organic-cotton-percale-sheet-set-003.avif,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159768be23215bbfc60b_66b2143470b93e835d3cb323_Organic-Cotton-Sateen-Sheet-Set-Collection-Mix.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159768be23215bbfc622_66b214347ea61b18663a6b75_Organic-Cotton-Sateen-Sheet-Set-002.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159768be23215bbfc610_66b21434744b015df6c0c7f3_organic-cotton-sateen-sheet-set-grey.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159768be23215bbfc617_66b214347588efc1351a1752_Organic-Pillow-Case-Pair-Color-Grey-001.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66b2159768be23215bbfc61b_66b2143485848e3ffceec893_organic-cotton-sateen-sheet-set-ivory-1.avif,sleep-beyond,cotton; sateen; bed-sheets; soft; deep-pocket,"Soft, durable, wrinkle-resistant","Higher price point, Limited color options",Organic cotton,Very High,$100-$150,Very Good,400,Very High,4.6/5,"Twin, Twin XL, Full, Queen, King, Cal King",Machine washable,Limited (3-4 colors),Sateen,Yes,Very High,Normal wear and tear,Excellent,8.7,8.8,8.4,8.7,8.5,FALSE,"Luxurious, soft, and durable sateen sheet set",,,219,https://www.dpbolvw.net/click-101231764-13814539,,,,,,
100% Rayon Made from Bamboo Sheet Set,100-rayon-made-from-bamboo-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,676ae61ecf85224fe25cb452,TRUE,TRUE,Tue Dec 24 2024 16:49:34 GMT+0000 (Coordinated Universal Time),Tue Dec 24 2024 16:49:34 GMT+0000 (Coordinated Universal Time),Tue Dec 24 2024 16:49:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae2f2d8b70d228179a024_71SeOUQu1NL._AC_SL1500_.jpg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae2f77214d92fb42af93b_81abGSp-B5L._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae2fcd38995064156a461_81rtzwii-5L._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae302d8b70d228179abc9_91oyMreqoUL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae307d8b70d228179afbd_919XlDaJNDL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676ae30c24c69bbc2dd940a2_71geKjux4mL._AC_SL1500_.jpg,bare-home-us,bamboo,"Ultra soft, breathable, value for money","Quality may vary, Wrinkle resistant",Rayon,Very High,$50-$81,Very Good,Not specified,Moderate,4.6/5,"Twin, Twin XL, Full, Full XL, Queen, King, Cal King, Split King, Split Cal king, Split Flex king",Machine washable,17,Not specified,Not specified,Low to Moderate,30-day return policy,Average,8,8.5,7,8,7,FALSE,Breathable easy fit bedding sheets & pillowcases,,,81,,https://amazon.com/dp/B0CX34SKD3?maas=maas_adg_api_585469917187664326_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_wlxEtC1EHM3XnIp1uB&aa_adgroupid=lv_AiPuEpP4420WOHk9YQ&aa_creativeid=lv_6iePTWP9qIHePo9yMU&m=A3UBXJ2R9SZ9Z4,Split King,,,good,
100% Viscose Derived from Bamboo Sheets,hotel-sheets-direct-100-viscose-derived-from-bamboo-sheets,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,66a9e71622eab955bd138ef1,TRUE,TRUE,Wed Jul 31 2024 07:26:14 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:07:10 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:07:10 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66f11020843e582b92b05d2b_66dd425fa528a79d9b89994f_Facebook%2520Photo.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b237aac5ec3dcd033f_66b1e04bcd99f1fa3586dafb_66a9f4cd149dbf419ed756be_81CKzPQ%25252BkgL._AC_SX569_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b237aac5ec3dcd032f_66b1e04bcd99f1fa3586db0d_66a9f4cdd18737f8f5d123b4_81FgvkqF3CL._AC_SX569_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b237aac5ec3dcd0329_66b1e04bcd99f1fa3586daf4_66a9f4cd6f96940fe3ac7196_618sWvD79uL._AC_SX569_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b237aac5ec3dcd0333_66b1e04bcd99f1fa3586dafe_66a9f4cd52d1558a7c55378d_81udpR7YYjL._AC_SX569_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b237aac5ec3dcd0338_66b1e04bcd99f1fa3586daf1_66a9f4cd7cd3ab3b4e28a743_717sSvuHdwL._AC_SX569_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b237aac5ec3dcd033b_66b1e04bcd99f1fa3586db05_66a9f4cd41ec479f5cab573d_71mFuqbIPXL._AC_SX569_.jpeg,hotel-sheets-direct,affordable; best-on-amazon; bamboo; queen-size-on-amazon; king-size-on-amazon; cooling-on-amazon; hot-sleepers-on-amazon; hot-sleepers,"Eco-friendly, cooling, moisture-wicking","May wrinkle easily, Higher price point",Bamboo,Very High,$50-$60,Excellent,Not specified,High,4.6/5,"Twin, Full, Queen, King, Cal King, Split King","Machine wash cold, tumble dry low",12,Bamboo,Yes,Very High,90-day return policy,Very good,7.9,8.3,8.3,7.9,8,TRUE,"Cooling bamboo sheets, excellent hypoallergenic comfort",,,100,,https://www.amazon.com/dp/B01N7LNK4F?ascsubtag=srctok-b598f65527f338bf&btn_ref=srctok-b598f65527f338bf&th=1&linkCode=ll1&tag=aehp-20&linkId=386450be1c42eff882ba68cf72359f14&language=en_US&ref_=as_li_ss_tl,,,,,
100% Viscose from Bamboo Cooling Sheet Set,100-viscose-from-bamboo-cooling-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673b205b6e5ce9197676b879,TRUE,TRUE,Mon Nov 18 2024 11:09:15 GMT+0000 (Coordinated Universal Time),Thu Dec 26 2024 21:31:31 GMT+0000 (Coordinated Universal Time),Thu Dec 26 2024 21:31:31 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8da5cfc2e4cb649b19_673c6d8f901db390221369e8_productcard1_eb22bd8b-95c3-4f97-9e7a-a3f775fb35b2.webp,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8da5cfc2e4cb649b1f_673b20112376509511108b6f_hover1_71976687-4a91-456c-b142-a19ff95c1522.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8da5cfc2e4cb649b1c_673b201e60f2c497c50c6346_98_c7a9622b-8c51-4d71-8321-863d2b31949d.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8da5cfc2e4cb649b25_673b202bd6876872e309ed4c_191_d1374783-d88d-4132-9139-414e6b37f80f.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8da5cfc2e4cb649b22_673b203b1d0121d409ccce3a_5-1_2083b268-5329-4d16-abb8-453ab1615149.webp,bedsure,soft; bamboo,"Silky soft, cooling, moisture-wicking, breathable",may require special care,Bamboo viscose,Very high,$46-$78,Excellent,Not specified,Good,4.5/5,"Twin, Twin XL, Full, Queen, King, Cal King",Machine wash in cold water on a gentle cycle,28,Twill,Yes,Moderate,30-day return policy,Good,8.5,8,8,9,8,FALSE,"Silky soft bamboo sheets, cooling and breathable",HOMEPRINCIPLES,for 20% off,46,https://bedsurehome.com/products/100-viscose-from-bamboo-sheets-set?ref=hp20&utm_source=GO,https://www.amazon.com/dp/B07YKCZHGK?th=1&linkCode=ll1&tag=aehp-20&linkId=419ea30ba4581893aff85f4d49e69237&language=en_US&ref_=as_li_ss_tl,,,,,
1000 Thread Count Queen Sheet Set - 100% Cotton Bed Sheets,1000-thread-count-queen-sheet-set---100-cotton-bed-sheets,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,6762a98fe3b6d6eac5deda67,FALSE,FALSE,Wed Dec 18 2024 10:53:03 GMT+0000 (Coordinated Universal Time),Mon Jan 06 2025 23:59:06 GMT+0000 (Coordinated Universal Time),Mon Jan 06 2025 23:59:06 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a6425c63034c57b6f316_61y%2BpJyQTlL._AC_SL1500_.jpg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a64c44b356475ff8ab0e_61LXF3sfQcL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a6556702f94698c8885c_612DITieynL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a65be7aeab023ea0adb7_71TTka4q1-L._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a6624fc545d50e9e2069_71-IcOEB6PL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6762a667239bb0362df7422a_71cuK96Xa6S._AC_SL1500_.jpg,cgk-hotel,best-on-amazon; cotton; best-premium,"Silky-soft, Eco friendly, Durable","Heavy, Wrinkle easily",Organic cotton,High,$100-$150,Very Good,1000,High,4.2/5,"Twin, Full, Queen, King, Cal King, Split King",Easy care machine wash,3,Sateen,Yes,High,30-day return policy,Good,8.7,8,8,8.5,9,TRUE,Softer Than Egyptian Cotton Sheets,,,130,,https://amazon.com/dp/B0BRYKPH9J?tag=homeprinciple-20,Queen,,,,
1500 Supreme Collection Queen Sheet Sets White,1500-supreme-collection-queen-sheet-sets-white,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,66d868c1709ce6a1b699c9eb,TRUE,TRUE,Wed Sep 04 2024 14:03:45 GMT+0000 (Coordinated Universal Time),Fri Jan 24 2025 04:44:35 GMT+0000 (Coordinated Universal Time),Fri Jan 24 2025 04:44:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66f1101ebdcd552986d07781_66d9476b5df1e33f49d585a1_Eden%2520Image%2520compressed.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66f1101ebdcd552986d07785_66d868d857cd9c479007acf1_ProductImage.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66f1101ebdcd552986d0777b_66d868d8db416cf1383a05cf_712yGT09dHL.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66f1101ebdcd552986d07775_66d868d8a921d890e9cee0ee_71ZU3PNhXeL.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66f1101ebdcd552986d0777e_66d868d8dbff7e5ae2bf7039_71UyVx%252BmKuL%2520AC%2520SL1500.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66f1101ebdcd552986d07792_66d868d8c6de831dc9776127_71o3GAgU3YL.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66f1101ebdcd552986d0778e_66d868d89b340eb855a95195_71pi4-sp4JL.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66f1101ebdcd552986d07789_66d868d818ee0a80c2fdaf34_61uYduu5JKL.jpeg,sweet-home-collection,best-on-amazon; bed-sheets; affordable; king-size-on-amazon; queen-size-on-amazon,"Affordable, wide selection, deep pocket design, elastic straps","Quality may vary, durability issues, synthetic feel",Microfiber,Medium-High,$25-$35,Good,Not specified,Moderate,4.6/5,"Twin, Full, Queen, King, Cal King","Machine washable, tumble dry",15,Plain weave,Yes,Low to Moderate,30-day return policy,Average,9.3,9.5,9.3,9,6,TRUE,"Affordable, soft, and widely available in many sizes.",15HOMEPRIN,for 15% off,33,,https://www.amazon.com/Supreme-Collection-Extra-Queen-Sheets/dp/B00JFNEASQ?crid=28GCK2AIVNGER&dib=eyJ2IjoiMSJ9.SFgC1k22r-2ewU9NkPFN77eSxkj3LKhDR5mtjAl-zdVkGfEypWZ6PDS05fB8nkqYRaZzaezZuwitz8c5QTM2zxPB06YcfksJrLy7ENWa9blDEE9p4Zoz7wtt5gqmLdWFZNUYolTdy8wWC1I7H3DTGSRuPdYFe61kfsv88AXbDqDIcOwQlAkVCKjHSTea7rYMGyHndk-z1HJJVGxNN-cliKPBIgzndHaJ6Ck1Q0GbUAETotEW65tRTGs02zva-C7GyV1T49uuBKiiWuppB9gHTPAqbBwp2kYjJGeOcJp4vyw.fZP0wnTt2jNETZ43jx8ShSF014h26R49ke-5M_ZOQ9o&dib_tag=se&keywords=1500%2Bsupreme%2Bcollection&qid=1725378676&sprefix=1500%2Bsupreme%2Bcollec%2Caps%2C112&sr=8-1&th=1&linkCode=ll1&tag=aehp-20&linkId=d6260813f8922ec9e20f23fb5f2987a2&language=en_US&ref_=as_li_ss_tl,,,,,
300 Thread Count Organic Sateen Sheets,300-thread-count-organic-sateen-sheets,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,66965d2c0f4a33f0c483c673,FALSE,TRUE,Tue Jul 16 2024 11:44:44 GMT+0000 (Coordinated Universal Time),Fri Nov 29 2024 14:17:51 GMT+0000 (Coordinated Universal Time),,5,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b30099e9d2de554fbd_66b1e04b8c5ef11f5fa5b5fa_66a9e71552d1558a7c4ccdab_669e5a3b88f135fa66f92fef_images.jpeg,,coyuchi,bed-sheets; sateen; cotton,"Organic, sustainable, soft","Higher price point, Limited color options",Organic cotton,High,$198-$298,Very Good,300,High,4.6/5,"Twin, Full, Queen, King, Cal King","Machine wash cold, tumble dry low",6,Sateen,Yes,Very High,30-day return policy,Very Good,8.1,7.5,9,7.5,8,FALSE,"Sustainable, organic cotton sateen sheets",,,,,,,,,,
Bamboo Sheet Set KING,bamboo-sheet-set-king,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,674090d7f82e3e8e3966bca2,FALSE,TRUE,Fri Nov 22 2024 14:10:31 GMT+0000 (Coordinated Universal Time),Thu Dec 05 2024 10:46:55 GMT+0000 (Coordinated Universal Time),Sun Dec 08 2024 13:58:09 GMT+0000 (Coordinated Universal Time),4,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b5f2573e3433108716_66b1e04d744b015df6a0f746_66a9e7150f9b89e921be50c9_669e5b6e0952b977838588b8_VLGeh6DnkKXdEJT9C5qgzg-415-80.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b5f2573e3433108710_66b1e04d744b015df6a0f731_66a9e7150f9b89e921be50cd_66a0ae703029f9bdf087870a_ezgif.com-webp-to-jpg-converter.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b6f2573e343310873d_66b1e04d744b015df6a0f743_66a9e7150f9b89e921be50bd_66a0aed4e5246070473ee404_sheets_packaging-799624.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b6f2573e3433108740_66b1e04d744b015df6a0f73c_66a9e7150f9b89e921be50c6_66a0aee75c329886d978bab9_Driftwood-4-ezgif.com-webp-to-jpg-converter.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b6f2573e343310872b_66b1e04d744b015df6a0f738_66a9e7150f9b89e921be50c1_66a0af00eb51065508a1f644_Driftwood-31-ezgif.com-webp-to-jpg-converter.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b6f2573e3433108730_66b1e04d744b015df6a0f72e_66a9e7150f9b89e921be50ba_66a0af00ecca53244892e2e9_Driftwood-2-ezgif.com-webp-to-jpg-converter.webp,cozy-earth,bed-sheets; bamboo; hot-sleepers; best-premium; soft; deep-pocket,"Temperature-regulating, very soft","Higher price point, May wrinkle",Bamboo viscose,Extremely High,$319-$439,Excellent,Not specified,High,4.8/5,"Twin, Full, Queen, King, Cal King, Split King","Machine wash cold, tumble dry low",5,Sateen,Yes,High,100-night trial,Good,9.2,9.1,9.3,8.5,9.3,FALSE,"Temperature-regulating, exceptionally soft bamboo viscose",HOMEPRINCIPLES,for 30% off,261,https://cozyearth.pxf.io/JKbZPa?subId1=,,,,,,
Bamboo Sheet Set QUEEN,bamboo-sheet-set-queen,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,66965d2cbce59eefa7fab7df,FALSE,TRUE,Tue Jul 16 2024 11:44:44 GMT+0000 (Coordinated Universal Time),Thu Dec 05 2024 10:46:39 GMT+0000 (Coordinated Universal Time),Sun Dec 08 2024 13:58:09 GMT+0000 (Coordinated Universal Time),4,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b5f2573e3433108716_66b1e04d744b015df6a0f746_66a9e7150f9b89e921be50c9_669e5b6e0952b977838588b8_VLGeh6DnkKXdEJT9C5qgzg-415-80.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b5f2573e3433108710_66b1e04d744b015df6a0f731_66a9e7150f9b89e921be50cd_66a0ae703029f9bdf087870a_ezgif.com-webp-to-jpg-converter.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b6f2573e343310873d_66b1e04d744b015df6a0f743_66a9e7150f9b89e921be50bd_66a0aed4e5246070473ee404_sheets_packaging-799624.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b6f2573e3433108740_66b1e04d744b015df6a0f73c_66a9e7150f9b89e921be50c6_66a0aee75c329886d978bab9_Driftwood-4-ezgif.com-webp-to-jpg-converter.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b6f2573e343310872b_66b1e04d744b015df6a0f738_66a9e7150f9b89e921be50c1_66a0af00eb51065508a1f644_Driftwood-31-ezgif.com-webp-to-jpg-converter.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/66cec1b6f2573e3433108730_66b1e04d744b015df6a0f72e_66a9e7150f9b89e921be50ba_66a0af00ecca53244892e2e9_Driftwood-2-ezgif.com-webp-to-jpg-converter.webp,cozy-earth,bed-sheets; bamboo; hot-sleepers; best-premium; soft; deep-pocket,"Temperature-regulating, very soft","Higher price point, May wrinkle",Bamboo viscose,Extremely High,$319-$439,Excellent,Not specified,High,4.8/5,"Twin, Full, Queen, King, Cal King, Split King","Machine wash cold, tumble dry low",5,Sateen,Yes,High,100-night trial,Good,9.2,9.1,9.3,8.5,9.3,FALSE,"Temperature-regulating, exceptionally soft bamboo viscose",HOMEPRINCIPLES,for 30% off,184,https://cozyearth.pxf.io/JKbZPa?subId1=,,Queen,,,,
Bamboo Sheets,bamboo-sheets,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,676ae18ed8b70d22817813c6,TRUE,TRUE,Tue Dec 24 2024 16:30:06 GMT+0000 (Coordinated Universal Time),Wed Dec 25 2024 09:06:24 GMT+0000 (Coordinated Universal Time),Wed Dec 25 2024 09:06:24 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676add8b1ef2dcea0bab290a_81KQbi7U80L._AC_SL1500_.jpg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676add9113e286fea2a72487_81FxgeltRsL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676add9807d709de5b5ab2f9_914yc2QP8zL._AC_SL1500_.jpg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/676adda01b11c2dcfd30007c_81uyCi0lO0L._AC_SL1500_.jpg,lane-linen,bamboo; hot-sleepers; cooling-on-amazon,"Smooth finish, breathable, easy Care","Quality may vary, potential durability issues",Rayon,Very High,$15-$40,Very Good,Not specified,Moderate,3.2/5,"Twin, Twin XL, Full, Queen, King",Machine washable,7,Bamboo,No,Low to Moderate,30-day return policy,Very Good,7.8,8.5,8,7,6,TRUE,Cooling Breathable Bamboo Sheets,,,39,,https://amazon.com/dp/B0BP282FSV?maas=maas_adg_api_577077718891125367_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_eTj1grA3GgPlIz6mHz&aa_adgroupid=lv_udhx8AiAfwoQAqrDIN&aa_creativeid=lv_NWlEl59egKWfXBdDH7&m=A1I4V640HSOLK3,Queen,,,,
Bamboo Sheets Queen Size Bed Luxury Silk Sheets Cooling Sheets,bamboo-sheets-queen-size-bed-luxury-silk-sheets-cooling-sheets,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,67448508d5a9586d1ea8d22e,TRUE,TRUE,Mon Nov 25 2024 14:09:12 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:03:04 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:03:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464e163925393a7cc71_6744832edf7ac9f6f22f547d_71lt1TK29rL._AC_SX679_.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464e163925393a7cc6d_67448323c3baffb89f066ace_81j5%252BdljjxL._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464e163925393a7cc75_67448325c052ac9d5e478dc3_71eC349XhhL._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464e163925393a7cc7d_674483276bb55a93c753d541_8102qWz2YTL._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464e163925393a7cc87_67448329879403c53966a8f8_91atcLnTQ1L._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464e163925393a7cc84_6744832c8c64a09a3187b4fc_81ddgnpbp6L._AC_SX679_.jpeg,california-design-den,queen-size-on-amazon; bamboo; fitted-on-amazon,"Affordable, Soft, Cooling","Quality may vary, potential durability issues",Rayon,Very High,$20-$50,Good,Not specified,Moderate,4.4/5,"Twin, Full, Queen, King, Cal King, Split King",Machine washable,8,Bamboo,Not specified,Low to Moderate,30-day return policy,Average,7.5,8,7,8,6,TRUE,Soft and cooling bamboo sheets sheet set,,,30,,https://amazon.com/dp/B08BTKJBJ9?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_VZIq62wo4gLYNXY71m&aa_adgroupid=lv_DhZq122KeJEy2Cfksm&aa_creativeid=lv_KIAo9ru7TnzvOUYsIt&m=AXT11B3W0G30N,,,,74,levana?
Breathable Cotton Linen Bed Sheet Set,breathable-cotton-linen-bed-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673c89b6d3d548dadecc57a8,FALSE,TRUE,Tue Nov 19 2024 12:51:02 GMT+0000 (Coordinated Universal Time),Thu Nov 28 2024 13:20:30 GMT+0000 (Coordinated Universal Time),Thu Nov 28 2024 13:20:50 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046b07d698d005bc252b_673c8807cf5bb5a127257b7a_91xsSZ7KWvL._AC_SL1500_1232492e-8cf4-4c9a-9fdd-01fc6b468280%2520(1).jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046b07d698d005bc254c_673c876ef6f666525f934ef5_913oLKGdyFL._AC_SL1500_30a3f65c-c513-48f7-892b-17af7765b244.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046b07d698d005bc2544_673c876e455722fecb442e5a_817RkWCNOnL._AC_SL1500_c4df9545-eb85-48a4-baf6-b623466a1f08.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046b07d698d005bc2551_673c87707fea346698baf2b7_81BZOpVWErL._AC_SL1500_d8533722-7d57-4893-916a-594070503f39.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046b07d698d005bc2557_673c877310662a543ca50faa_81f8CE0U9wL._AC_SL1500.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046b07d698d005bc2554_673c8779c9892b45dfe7ac49_91ME-Mf-y-L._AC_SL1500_aa1467f7-b6d7-47d9-8e2b-096dc7d748a6.jpeg,bedsure,linen,"Breathable, natural materials, suitable for all seasons","May wrinkle easily, potential rougher texture initially","Cotton, Linen",Medium,$84-$139,Excellent,Not specified,Good,4.6/5,"Twin, Queen, King",Machine wash in cold or warm water on a gentle cycle,8,Not specified,Not specified,High,30-day return policy,Good,7.5,7,7,8,6,FALSE,Breathable cotton-linen blend sheets for year-round comfort,HOMEPRINCIPLES,for 20% off,123,https://bedsurehome.com/products/bedsure-breathable-cotton-linen-bed-sheet-set?ref=hp20&utm_source=GO&variant=41941149876326,,,,,,
